Catalogue Reference,"29.4919194, -98.4271969"
HL/PO/JO/10/1/82/98,"54.689087, -1.5538181"
HL/PO/JO/10/1/82/99,"54.69523, -2.666818"
HL/PO/JO/10/1/82/100,"54.750016, -2.7030789"
HL/PO/JO/10/1/82/101,"54.731336, -2.59942"
HL/PO/JO/10/1/82/102,"42.3370413, -71.2092214"
HL/PO/JO/10/1/82/103,"54.708181, -2.591961"
HL/PO/JO/10/1/82/104,"54.664097, -2.752708"
HL/PO/JO/10/1/82/105,"54.785326, -2.62819"
HL/PO/JO/10/1/82/106,"54.725584, -2.698853"
HL/PO/JO/10/1/82/107,"54.561954, -0.98951"
HL/PO/JO/10/1/83/1,"51.4901958, -0.1392229"
HL/PO/JO/10/1/83/2,"54.6623562, -1.3471782"
HL/PO/JO/10/1/83/3,"53.5414292, -2.1907233"
HL/PO/JO/10/1/83/5,"51.723453, -1.549105"
HL/PO/JO/10/1/83/6,"50.941158, -3.319448"
HL/PO/JO/10/1/83/7,"52.640245, -1.939976"
HL/PO/JO/10/1/83/8,"50.966639, -3.367548"
HL/PO/JO/10/1/83/9,"50.961363, -3.346964"
HL/PO/JO/10/1/83/10,"51.013413, -3.492608"
HL/PO/JO/10/1/83/11,"50.906813, -3.329822"
HL/PO/JO/10/1/83/12,"50.9086209, -3.414711"
HL/PO/JO/10/1/83/13,"50.920931, -3.385726"
HL/PO/JO/10/1/83/14,"50.886118, -3.372925"
HL/PO/JO/10/1/83/15,"50.856125, -3.505333"
HL/PO/JO/10/1/83/16,"50.828878, -3.41821"
HL/PO/JO/10/1/83/17,"50.834214, -3.275376"
HL/PO/JO/10/1/83/18,"50.834962, -3.546317"
HL/PO/JO/10/1/83/19,"50.38792, -3.9490354"
HL/PO/JO/10/1/83/20,"50.855229, -3.391701"
HL/PO/JO/10/1/83/21,"50.7846819, -3.272552"
HL/PO/JO/10/1/83/22,"50.864901, -3.3264269"
HL/PO/JO/10/1/83/23,"50.789594, -3.50642"
HL/PO/JO/10/1/83/24,"50.807116, -3.301785"
HL/PO/JO/10/1/83/25,"50.81993, -3.347265"
HL/PO/JO/10/1/83/26,"51.4630701, -2.1583384"
HL/PO/JO/10/1/83/27,"50.8165059, -3.482909"
HL/PO/JO/10/1/83/28,"50.78934, -3.321055"
HL/PO/JO/10/1/83/29,"50.806336, -3.530095"
HL/PO/JO/10/1/83/30,"50.810029, -3.22741"
HL/PO/JO/10/1/83/31,"50.797741, -3.247247"
HL/PO/JO/10/1/83/32,"52.8693684, -1.0624501"
HL/PO/JO/10/1/83/33,"50.931919, -3.193525"
HL/PO/JO/10/1/83/34,"50.913967, -3.280072"
HL/PO/JO/10/1/83/35,"50.863289, -3.221575"
HL/PO/JO/10/1/83/36,"50.91135, -3.227796"
HL/PO/JO/10/1/83/37,"50.918787, -3.537805"
HL/PO/JO/10/1/83/38,"50.973022, -3.423625"
HL/PO/JO/10/1/83/40,"53.140807, -2.671496"
HL/PO/JO/10/1/83/41,"50.931622, -3.408295"
HL/PO/JO/10/1/83/43,"50.831635, -4.183604"
HL/PO/JO/10/1/83/44,"50.893612, -4.297311"
HL/PO/JO/10/1/82/91,"54.7379421, -2.9670157"
HL/PO/JO/10/1/82/92,"54.817704, -2.665338"
HL/PO/JO/10/1/82/93,"54.630444, -2.839557"
HL/PO/JO/10/1/82/95,"54.7851272, -2.8330039"
HL/PO/JO/10/1/82/96,"54.719184, -2.847026"
HL/PO/JO/10/1/82/97,"47.6814875, -122.2087353"
HL/PO/JO/10/1/82/98,"54.689087, -1.5538181"
HL/PO/JO/10/1/82/99,"54.69523, -2.666818"
HL/PO/JO/10/1/82/100,"54.750016, -2.7030789"
HL/PO/JO/10/1/82/101,"54.731336, -2.59942"
HL/PO/JO/10/1/82/102,"42.3370413, -71.2092214"
HL/PO/JO/10/1/82/103,"54.708181, -2.591961"
HL/PO/JO/10/1/82/104,"54.664097, -2.752708"
HL/PO/JO/10/1/82/105,"54.785326, -2.62819"
HL/PO/JO/10/1/82/106,"54.725584, -2.698853"
HL/PO/JO/10/1/82/107,"54.561954, -0.98951"
HL/PO/JO/10/1/83/1,"51.4901958, -0.1392229"
HL/PO/JO/10/1/83/2,"54.6623562, -1.3471782"
HL/PO/JO/10/1/83/3,"53.5414292, -2.1907233"
HL/PO/JO/10/1/83/5,"51.723453, -1.549105"
HL/PO/JO/10/1/83/6,"50.941158, -3.319448"
HL/PO/JO/10/1/83/7,"52.640245, -1.939976"
HL/PO/JO/10/1/83/8,"50.966639, -3.367548"
HL/PO/JO/10/1/83/9,"50.961363, -3.346964"
HL/PO/JO/10/1/83/10,"51.013413, -3.492608"
HL/PO/JO/10/1/83/11,"50.906813, -3.329822"
HL/PO/JO/10/1/83/12,"50.9086209, -3.414711"
HL/PO/JO/10/1/83/13,"50.920931, -3.385726"
HL/PO/JO/10/1/83/14,"50.886118, -3.372925"
HL/PO/JO/10/1/83/15,"50.856125, -3.505333"
HL/PO/JO/10/1/83/16,"50.828878, -3.41821"
HL/PO/JO/10/1/83/17,"50.834214, -3.275376"
HL/PO/JO/10/1/83/18,"50.834962, -3.546317"
HL/PO/JO/10/1/83/19,"50.38792, -3.9490354"
HL/PO/JO/10/1/83/20,"50.855229, -3.391701"
HL/PO/JO/10/1/83/21,"50.7846819, -3.272552"
HL/PO/JO/10/1/83/22,"50.864901, -3.3264269"
HL/PO/JO/10/1/83/23,"50.789594, -3.50642"
HL/PO/JO/10/1/83/24,"50.807116, -3.301785"
HL/PO/JO/10/1/83/25,"50.81993, -3.347265"
HL/PO/JO/10/1/83/26,"51.4630701, -2.1583384"
HL/PO/JO/10/1/83/27,"50.8165059, -3.482909"
HL/PO/JO/10/1/83/28,"50.78934, -3.321055"
HL/PO/JO/10/1/83/29,"50.806336, -3.530095"
HL/PO/JO/10/1/83/30,"50.810029, -3.22741"
HL/PO/JO/10/1/83/31,"50.797741, -3.247247"
HL/PO/JO/10/1/83/32,"52.8693684, -1.0624501"
HL/PO/JO/10/1/83/33,"50.931919, -3.193525"
HL/PO/JO/10/1/83/34,"50.913967, -3.280072"
HL/PO/JO/10/1/83/35,"50.863289, -3.221575"
HL/PO/JO/10/1/83/36,"50.91135, -3.227796"
HL/PO/JO/10/1/83/37,"50.918787, -3.537805"
HL/PO/JO/10/1/83/38,"50.973022, -3.423625"
HL/PO/JO/10/1/83/40,"53.140807, -2.671496"
HL/PO/JO/10/1/83/41,"50.931622, -3.408295"
HL/PO/JO/10/1/83/43,"50.831635, -4.183604"
HL/PO/JO/10/1/83/44,"50.893612, -4.297311"
 Hundred - Putford,"50.942815, -4.31858"
HL/PO/JO/10/1/84/24,"50.86266, -4.2222989"
HL/PO/JO/10/1/84/25,"50.8373769, -4.152861"
HL/PO/JO/10/1/84/26,"50.976335, -4.171064"
HL/PO/JO/10/1/84/27,"50.999281, -4.399824"
HL/PO/JO/10/1/84/28,"50.990226, -4.479349"
HL/PO/JO/10/1/84/29,"50.9508427, -2.6410272"
HL/PO/JO/10/1/84/30,"50.9636629, -4.36907"
HL/PO/JO/10/1/84/31,"50.993756, -4.056195"
HL/PO/JO/10/1/84/32,"51.1464659, 0.875019"
HL/PO/JO/10/1/84/33,"51.0781599, -4.058338"
HL/PO/JO/10/1/84/34,"51.20118, -4.06155"
HL/PO/JO/10/1/84/35,"51.121687, -3.940072"
HL/PO/JO/10/1/84/36,"51.108039, -4.161014"
HL/PO/JO/10/1/84/37,"51.678969, -1.507944"
HL/PO/JO/10/1/84/38,"51.678969, -1.507944"
HL/PO/JO/10/1/84/39,"51.1994789, -4.024285"
HL/PO/JO/10/1/84/40,"54.3412911, -5.7484854"
HL/PO/JO/10/1/84/41,"54.3412911, -5.7484854"
HL/PO/JO/10/1/84/42,"51.0350899, -3.90905"
HL/PO/JO/10/1/84/43,"51.136642, -4.1959946"
HL/PO/JO/10/1/84/44,"51.086767, -3.999934"
HL/PO/JO/10/1/84/45,"51.0906727, -4.138581"
HL/PO/JO/10/1/84/46,"51.205163, -4.126762"
HL/PO/JO/10/1/84/47,"51.176227, -3.972656"
HL/PO/JO/10/1/84/48,"51.120357, -4.085111"
HL/PO/JO/10/1/84/50,"51.166252, -2.587054"
HL/PO/JO/10/1/84/51,"51.219896, -3.940376"
HL/PO/JO/10/1/84/52,"50.846799, -3.610788"
HL/PO/JO/10/1/84/53,"50.840987, -4.527221"
HL/PO/JO/10/1/84/54,"44.0922414, -79.1319128"
HL/PO/JO/10/1/84/55,"50.847992, -3.635263"
HL/PO/JO/10/1/84/56,"50.823113, -3.590899"
HL/PO/JO/10/1/84/58,"50.930248, -3.522213"
HL/PO/JO/10/1/84/59,"50.7613592, -3.4402746"
HL/PO/JO/10/1/84/60,"50.8624099, -3.461074"
HL/PO/JO/10/1/84/61,"50.74063, -3.070422"
HL/PO/JO/10/1/84/63,"44.894313, -71.496296"
HL/PO/JO/10/1/84/64,"50.792592, -3.651495"
HL/PO/JO/10/1/84/65,"50.856495, -3.676838"
HL/PO/JO/10/1/84/66,"50.77892, -3.5894"
HL/PO/JO/10/1/84/67,"50.7062751, -2.1005409"
HL/PO/JO/10/1/84/68,"50.401465, -3.664268"
HL/PO/JO/10/1/84/71,"50.38848, -3.648454"
HL/PO/JO/10/1/84/72,"50.3523455, -3.5906667"
HL/PO/JO/10/1/84/73,"50.342193, -3.5661098"
HL/PO/JO/10/1/84/74,"50.3511352, -3.5792067"
HL/PO/JO/10/1/84/75,"50.383524, -3.603445"
HL/PO/JO/10/1/84/76,"50.366191, -3.722739"
HL/PO/JO/10/1/84/77,"50.417434, -3.725397"
HL/PO/JO/10/1/84/78,"50.326741, -3.597845"
HL/PO/JO/10/1/84/79,"50.433741, -3.685797"
HL/PO/JO/10/1/84/80,"50.304434, -3.742163"
HL/PO/JO/10/1/84/81,"50.2722836, -3.7519973"
HL/PO/JO/10/1/84/82,"50.235968, -3.707464"
HL/PO/JO/10/1/84/84,"50.287587, -3.771038"
HL/PO/JO/10/1/84/85,"50.232341, -3.75624"
HL/PO/JO/10/1/84/24,"50.86266, -4.2222989"
HL/PO/JO/10/1/84/25,"50.8373769, -4.152861"
HL/PO/JO/10/1/84/26,"50.976335, -4.171064"
HL/PO/JO/10/1/84/27,"50.999281, -4.399824"
HL/PO/JO/10/1/84/28,"50.990226, -4.479349"
HL/PO/JO/10/1/84/29,"50.9508427, -2.6410272"
HL/PO/JO/10/1/84/30,"50.9636629, -4.36907"
HL/PO/JO/10/1/84/31,"50.993756, -4.056195"
HL/PO/JO/10/1/84/32,"51.1464659, 0.875019"
HL/PO/JO/10/1/84/33,"51.0781599, -4.058338"
HL/PO/JO/10/1/84/34,"51.20118, -4.06155"
HL/PO/JO/10/1/84/35,"51.121687, -3.940072"
HL/PO/JO/10/1/84/36,"51.108039, -4.161014"
HL/PO/JO/10/1/84/37,"51.678969, -1.507944"
HL/PO/JO/10/1/84/38,"51.678969, -1.507944"
HL/PO/JO/10/1/84/39,"51.1994789, -4.024285"
HL/PO/JO/10/1/84/40,"54.3412911, -5.7484854"
HL/PO/JO/10/1/84/41,"54.3412911, -5.7484854"
HL/PO/JO/10/1/84/42,"51.0350899, -3.90905"
HL/PO/JO/10/1/84/43,"51.136642, -4.1959946"
HL/PO/JO/10/1/84/44,"51.086767, -3.999934"
HL/PO/JO/10/1/84/45,"51.0906727, -4.138581"
HL/PO/JO/10/1/84/46,"51.205163, -4.126762"
HL/PO/JO/10/1/84/47,"51.176227, -3.972656"
HL/PO/JO/10/1/84/48,"51.120357, -4.085111"
HL/PO/JO/10/1/84/50,"51.166252, -2.587054"
HL/PO/JO/10/1/84/51,"51.219896, -3.940376"
HL/PO/JO/10/1/84/52,"50.846799, -3.610788"
HL/PO/JO/10/1/84/53,"50.840987, -4.527221"
HL/PO/JO/10/1/84/54,"44.0922414, -79.1319128"
HL/PO/JO/10/1/84/55,"50.847992, -3.635263"
HL/PO/JO/10/1/84/56,"50.823113, -3.590899"
HL/PO/JO/10/1/84/57,"50.819322, -3.645081"
HL/PO/JO/10/1/84/58,"50.930248, -3.522213"
HL/PO/JO/10/1/84/59,"50.7613592, -3.4402746"
HL/PO/JO/10/1/84/60,"50.8624099, -3.461074"
HL/PO/JO/10/1/84/61,"50.74063, -3.070422"
HL/PO/JO/10/1/84/63,"44.894313, -71.496296"
HL/PO/JO/10/1/84/64,"50.792592, -3.651495"
HL/PO/JO/10/1/84/65,"50.856495, -3.676838"
HL/PO/JO/10/1/84/66,"50.77892, -3.5894"
HL/PO/JO/10/1/84/67,"50.7062751, -2.1005409"
HL/PO/JO/10/1/84/68,"50.401465, -3.664268"
HL/PO/JO/10/1/84/71,"50.38848, -3.648454"
HL/PO/JO/10/1/84/72,"50.3523455, -3.5906667"
HL/PO/JO/10/1/84/73,"50.342193, -3.5661098"
HL/PO/JO/10/1/84/74,"50.3511352, -3.5792067"
HL/PO/JO/10/1/84/75,"50.383524, -3.603445"
HL/PO/JO/10/1/84/76,"50.366191, -3.722739"
HL/PO/JO/10/1/84/77,"50.417434, -3.725397"
HL/PO/JO/10/1/84/78,"50.326741, -3.597845"
HL/PO/JO/10/1/84/79,"50.433741, -3.685797"
HL/PO/JO/10/1/84/80,"50.304434, -3.742163"
HL/PO/JO/10/1/84/81,"50.2722836, -3.7519973"
HL/PO/JO/10/1/84/82,"50.235968, -3.707464"
HL/PO/JO/10/1/84/84,"50.287587, -3.771038"
HL/PO/JO/10/1/84/85,"50.232341, -3.75624"
HL/PO/JO/10/1/85/47,"50.4641838, -3.570857"
HL/PO/JO/10/1/85/48,"50.506085, -3.565165"
HL/PO/JO/10/1/85/49,"50.5078099, -3.6606507"
HL/PO/JO/10/1/85/50,"50.520251, -3.56391"
HL/PO/JO/10/1/85/51,"50.489165, -3.639873"
HL/PO/JO/10/1/85/52,"50.500152, -3.588451"
HL/PO/JO/10/1/85/53,"44.4941551, -68.4690208"
HL/PO/JO/10/1/85/54,"50.450883, -3.674159"
HL/PO/JO/10/1/85/55,"50.459562, -3.600024"
HL/PO/JO/10/1/85/56,"50.521841, -3.621571"
HL/PO/JO/10/1/85/57,"50.43508, -3.564235"
HL/PO/JO/10/1/85/58,"52.5325189, -2.4186605"
HL/PO/JO/10/1/85/59,"50.464962, -3.699913"
HL/PO/JO/10/1/85/60,"50.4064369, -3.624321"
HL/PO/JO/10/1/85/61,"50.4888199, -3.666015"
HL/PO/JO/10/1/85/63,"54.4173515, 10.3423379"
HL/PO/JO/10/1/85/64,"38.6785157, -121.7732971"
HL/PO/JO/10/1/85/65,"51.5672808, -0.2710568"
HL/PO/JO/10/1/85/66,"50.452017, -3.712819"
HL/PO/JO/10/1/85/67,"50.400269, -3.793921"
HL/PO/JO/10/1/85/68,"50.881205, -4.086499"
HL/PO/JO/10/1/85/69,"50.3901979, -3.7167244"
HL/PO/JO/10/1/85/70,"50.442759, -3.776051"
HL/PO/JO/10/1/86/1,"50.5388293, -3.7023777"
HL/PO/JO/10/1/86/2,"47.2394289, -93.3416781"
HL/PO/JO/10/1/86/3,"47.2955444, -93.4159162"
HL/PO/JO/10/1/86/4,"50.615215, -3.654508"
HL/PO/JO/10/1/86/5,"50.537701, -3.626944"
HL/PO/JO/10/1/86/6,"50.587294, -3.571582"
HL/PO/JO/10/1/86/7,"50.5724076, -3.7172227"
HL/PO/JO/10/1/86/8,"50.549083, -3.598421"
HL/PO/JO/10/1/86/9,"50.6183352, -3.7192424"
HL/PO/JO/10/1/86/10,"50.617462, -3.764606"
HL/PO/JO/10/1/86/11,"50.659678, -3.767893"
HL/PO/JO/10/1/86/12,"50.552886, -3.628114"
HL/PO/JO/10/1/86/13,"50.606891, -3.536759"
HL/PO/JO/10/1/86/14,"53.4876815, -2.0961077"
HL/PO/JO/10/1/86/15,"50.553664, -3.543173"
HL/PO/JO/10/1/86/16,"50.606943, -3.601208"
HL/PO/JO/10/1/86/17,"50.582285, -3.464402"
HL/PO/JO/10/1/86/18,"50.6665149, -3.624439"
HL/PO/JO/10/1/86/19,"50.547033, -3.496688"
HL/PO/JO/10/1/86/20,"50.547033, -3.496688"
HL/PO/JO/10/1/86/21,"50.628569, -3.623929"
HL/PO/JO/10/1/86/22,"50.534231, -3.551634"
HL/PO/JO/10/1/86/23,"50.5190143, -3.6254325"
HL/PO/JO/10/1/86/24,"50.5190143, -3.6254325"
HL/PO/JO/10/1/86/25,"50.524178, -3.53063"
HL/PO/JO/10/1/86/26,"51.4536, -2.5929"
HL/PO/JO/10/1/86/27,"50.481799, -3.779342"
HL/PO/JO/10/1/86/28,"50.456226, -3.788329"
HL/PO/JO/10/1/86/29,"50.510903, -3.821508"
HL/PO/JO/10/1/86/30,"-37.7810539, 145.0306948"
HL/PO/JO/10/1/86/31,"50.776023, -3.525484"
HL/PO/JO/10/1/86/32,"50.665348, -3.685445"
HL/PO/JO/10/1/86/33,"50.673066, -3.840265"
HL/PO/JO/10/1/86/34,"50.728752, -3.739794"
HL/PO/JO/10/1/86/35,"50.65344, -3.653874"
HL/PO/JO/10/1/86/36,"50.704235, -3.793691"
HL/PO/JO/10/1/86/37,"50.690733, -3.68307"
HL/PO/JO/10/1/86/38,"50.718412, -3.533899"
HL/PO/JO/10/1/85/47,"50.4641838, -3.570857"
HL/PO/JO/10/1/85/48,"50.506085, -3.565165"
HL/PO/JO/10/1/85/49,"50.5078099, -3.6606507"
HL/PO/JO/10/1/85/50,"50.520251, -3.56391"
HL/PO/JO/10/1/85/51,"50.489165, -3.639873"
HL/PO/JO/10/1/85/52,"50.500152, -3.588451"
HL/PO/JO/10/1/85/53,"44.4941551, -68.4690208"
HL/PO/JO/10/1/85/54,"50.450883, -3.674159"
HL/PO/JO/10/1/85/55,"50.459562, -3.600024"
HL/PO/JO/10/1/85/56,"50.521841, -3.621571"
HL/PO/JO/10/1/85/57,"50.43508, -3.564235"
HL/PO/JO/10/1/85/58,"52.5325189, -2.4186605"
HL/PO/JO/10/1/85/59,"50.464962, -3.699913"
HL/PO/JO/10/1/85/60,"50.4064369, -3.624321"
HL/PO/JO/10/1/85/61,"50.4888199, -3.666015"
HL/PO/JO/10/1/85/63,"54.4173515, 10.3423379"
HL/PO/JO/10/1/85/64,"38.6785157, -121.7732971"
HL/PO/JO/10/1/85/65,"51.5672808, -0.2710568"
HL/PO/JO/10/1/85/66,"50.452017, -3.712819"
HL/PO/JO/10/1/85/67,"50.400269, -3.793921"
HL/PO/JO/10/1/85/68,"50.881205, -4.086499"
HL/PO/JO/10/1/85/69,"50.3901979, -3.7167244"
HL/PO/JO/10/1/85/70,"50.442759, -3.776051"
HL/PO/JO/10/1/86/1,"50.5388293, -3.7023777"
HL/PO/JO/10/1/86/2,"47.2394289, -93.3416781"
HL/PO/JO/10/1/86/3,"47.2955444, -93.4159162"
HL/PO/JO/10/1/86/4,"50.615215, -3.654508"
HL/PO/JO/10/1/86/5,"50.537701, -3.626944"
HL/PO/JO/10/1/86/6,"50.587294, -3.571582"
HL/PO/JO/10/1/86/7,"50.5724076, -3.7172227"
HL/PO/JO/10/1/86/8,"50.549083, -3.598421"
HL/PO/JO/10/1/86/9,"50.6183352, -3.7192424"
HL/PO/JO/10/1/86/10,"50.617462, -3.764606"
HL/PO/JO/10/1/86/11,"50.659678, -3.767893"
HL/PO/JO/10/1/86/12,"50.552886, -3.628114"
HL/PO/JO/10/1/86/13,"50.606891, -3.536759"
HL/PO/JO/10/1/86/14,"53.4876815, -2.0961077"
HL/PO/JO/10/1/86/15,"50.553664, -3.543173"
HL/PO/JO/10/1/86/16,"50.606943, -3.601208"
HL/PO/JO/10/1/86/17,"50.582285, -3.464402"
HL/PO/JO/10/1/86/18,"50.6665149, -3.624439"
HL/PO/JO/10/1/86/19,"50.547033, -3.496688"
HL/PO/JO/10/1/86/20,"50.547033, -3.496688"
HL/PO/JO/10/1/86/21,"50.628569, -3.623929"
HL/PO/JO/10/1/86/22,"50.534231, -3.551634"
HL/PO/JO/10/1/86/23,"50.5190143, -3.6254325"
HL/PO/JO/10/1/86/24,"50.5190143, -3.6254325"
HL/PO/JO/10/1/86/25,"50.524178, -3.53063"
HL/PO/JO/10/1/86/26,"51.4536, -2.5929"
HL/PO/JO/10/1/86/27,"50.481799, -3.779342"
HL/PO/JO/10/1/86/28,"50.456226, -3.788329"
HL/PO/JO/10/1/86/29,"50.510903, -3.821508"
HL/PO/JO/10/1/86/30,"-37.7810539, 145.0306948"
HL/PO/JO/10/1/86/31,"50.776023, -3.525484"
HL/PO/JO/10/1/86/32,"50.665348, -3.685445"
HL/PO/JO/10/1/86/33,"50.673066, -3.840265"
HL/PO/JO/10/1/86/34,"50.728752, -3.739794"
HL/PO/JO/10/1/86/35,"50.65344, -3.653874"
HL/PO/JO/10/1/86/36,"50.704235, -3.793691"
HL/PO/JO/10/1/86/37,"50.690733, -3.68307"
urn - Devon - Roborough Hundred - Beer Ferris.,"57.4755555, -132.3597222"
HL/PO/JO/10/1/87/2,"50.856125, -3.505333"
HL/PO/JO/10/1/87/3,"50.495194, -4.13085"
HL/PO/JO/10/1/87/4,"50.398491, -4.112214"
HL/PO/JO/10/1/87/5,"50.488765, -4.06159"
HL/PO/JO/10/1/87/6,"50.3754565, -4.1426565"
HL/PO/JO/10/1/87/7,"50.550591, -4.141689"
HL/PO/JO/10/1/87/8,"50.535477, -4.066876"
HL/PO/JO/10/1/87/10,"50.2694274, -3.8647178"
HL/PO/JO/10/1/87/11,"50.4281409, -4.156392"
HL/PO/JO/10/1/87/12,"50.510496, -4.070536"
HL/PO/JO/10/1/87/13,"52.968716, -2.682045"
HL/PO/JO/10/1/87/14,"32.735687, -97.1080656"
HL/PO/JO/10/1/87/15,"51.217173, -3.773907"
HL/PO/JO/10/1/87/17,"38.5221781, -77.1024902"
HL/PO/JO/10/1/87/18,"51.231557, -3.795707"
HL/PO/JO/10/1/87/19,"51.5498969, -0.0980629"
HL/PO/JO/10/1/87/20,"52.097776, 0.277723"
HL/PO/JO/10/1/87/21,"51.129467, -3.978981"
HL/PO/JO/10/1/87/22,"51.220814, -3.909729"
HL/PO/JO/10/1/87/23,"51.188321, -3.909505"
HL/PO/JO/10/1/87/24,"50.3932803, -3.9396526"
HL/PO/JO/10/1/87/25,"51.099979, -3.951163"
HL/PO/JO/10/1/87/26,"51.5048106, -0.1962616"
HL/PO/JO/10/1/87/27,"52.2395023, 0.1831334"
HL/PO/JO/10/1/87/28,"50.5443928, -4.1569556"
HL/PO/JO/10/1/87/31,"50.905898, -3.948606"
HL/PO/JO/10/1/87/32,"50.990691, -4.009164"
HL/PO/JO/10/1/87/33,"50.8257649, -3.915699"
HL/PO/JO/10/1/87/34,"50.93592, -3.940713"
HL/PO/JO/10/1/87/35,"50.8080146, -3.7779483"
HL/PO/JO/10/1/87/36,"50.893548, -4.029005"
HL/PO/JO/10/1/87/37,"50.875755, -4.035768"
HL/PO/JO/10/1/87/38,"50.8210753, -3.7766205"
HL/PO/JO/10/1/87/39,"50.9682148, -3.9956243"
HL/PO/JO/10/1/87/40,"50.8701196, -3.8699594"
HL/PO/JO/10/1/87/42,"50.793237, -3.80888"
HL/PO/JO/10/1/87/43,"50.800602, -3.897245"
HL/PO/JO/10/1/87/44,"50.855879, -3.946214"
HL/PO/JO/10/1/87/45,"50.818635, -3.823694"
HL/PO/JO/10/1/87/46,"52.671727, -1.188402"
HL/PO/JO/10/1/87/47,"52.671727, -1.188402"
HL/PO/JO/10/1/87/48,"51.053904, -4.044523"
HL/PO/JO/10/1/87/49,"51.013273, -3.945555"
HL/PO/JO/10/1/87/50,"50.994381, -3.674627"
HL/PO/JO/10/1/87/51,"51.0628647, -4.0084502"
HL/PO/JO/10/1/87/52,"51.040819, -3.69928"
HL/PO/JO/10/1/87/53,"47.3745249, -0.1080012"
HL/PO/JO/10/1/87/54,"51.01499, -3.835086"
HL/PO/JO/10/1/87/55,"51.0171995, -3.8342147"
HL/PO/JO/10/1/87/56,"50.987925, -3.898918"
HL/PO/JO/10/1/87/57,"51.0520319, -3.97222"
HL/PO/JO/10/1/87/58,"51.061317, -3.727113"
HL/PO/JO/10/1/87/59,"50.989964, -3.939011"
HL/PO/JO/10/1/87/60,"50.999504, -3.771378"
HL/PO/JO/10/1/87/61,"50.906697, -3.800811"
HL/PO/JO/10/1/87/62,"50.913966, -3.869415"
HL/PO/JO/10/1/87/2,"50.856125, -3.505333"
HL/PO/JO/10/1/87/3,"50.495194, -4.13085"
HL/PO/JO/10/1/87/4,"50.398491, -4.112214"
HL/PO/JO/10/1/87/5,"50.488765, -4.06159"
HL/PO/JO/10/1/87/6,"50.3754565, -4.1426565"
HL/PO/JO/10/1/87/7,"50.550591, -4.141689"
HL/PO/JO/10/1/87/8,"50.535477, -4.066876"
HL/PO/JO/10/1/87/10,"50.2694274, -3.8647178"
HL/PO/JO/10/1/87/11,"50.4281409, -4.156392"
HL/PO/JO/10/1/87/12,"50.510496, -4.070536"
HL/PO/JO/10/1/87/13,"52.968716, -2.682045"
HL/PO/JO/10/1/87/14,"32.735687, -97.1080656"
HL/PO/JO/10/1/87/15,"51.217173, -3.773907"
HL/PO/JO/10/1/87/17,"38.5221781, -77.1024902"
HL/PO/JO/10/1/87/18,"51.231557, -3.795707"
HL/PO/JO/10/1/87/19,"51.5498969, -0.0980629"
HL/PO/JO/10/1/87/20,"52.097776, 0.277723"
HL/PO/JO/10/1/87/21,"51.129467, -3.978981"
HL/PO/JO/10/1/87/22,"51.220814, -3.909729"
HL/PO/JO/10/1/87/23,"51.188321, -3.909505"
HL/PO/JO/10/1/87/24,"50.3932803, -3.9396526"
HL/PO/JO/10/1/87/25,"51.099979, -3.951163"
HL/PO/JO/10/1/87/26,"51.5048106, -0.1962616"
HL/PO/JO/10/1/87/27,"52.2395023, 0.1831334"
HL/PO/JO/10/1/87/28,"50.5443928, -4.1569556"
HL/PO/JO/10/1/87/31,"50.905898, -3.948606"
HL/PO/JO/10/1/87/32,"50.990691, -4.009164"
HL/PO/JO/10/1/87/33,"50.8257649, -3.915699"
HL/PO/JO/10/1/87/34,"50.93592, -3.940713"
HL/PO/JO/10/1/87/35,"50.8080146, -3.7779483"
HL/PO/JO/10/1/87/36,"50.893548, -4.029005"
HL/PO/JO/10/1/87/37,"50.875755, -4.035768"
HL/PO/JO/10/1/87/38,"50.8210753, -3.7766205"
HL/PO/JO/10/1/87/39,"50.9682148, -3.9956243"
HL/PO/JO/10/1/87/40,"50.8701196, -3.8699594"
HL/PO/JO/10/1/87/42,"50.793237, -3.80888"
HL/PO/JO/10/1/87/43,"50.800602, -3.897245"
HL/PO/JO/10/1/87/44,"50.855879, -3.946214"
HL/PO/JO/10/1/87/45,"50.818635, -3.823694"
HL/PO/JO/10/1/87/46,"52.671727, -1.188402"
HL/PO/JO/10/1/87/47,"52.671727, -1.188402"
HL/PO/JO/10/1/87/48,"51.053904, -4.044523"
HL/PO/JO/10/1/87/49,"51.013273, -3.945555"
HL/PO/JO/10/1/87/50,"50.994381, -3.674627"
HL/PO/JO/10/1/87/51,"51.0628647, -4.0084502"
HL/PO/JO/10/1/87/52,"51.040819, -3.69928"
HL/PO/JO/10/1/87/53,"47.3745249, -0.1080012"
HL/PO/JO/10/1/87/54,"51.01499, -3.835086"
HL/PO/JO/10/1/87/55,"51.0171995, -3.8342147"
HL/PO/JO/10/1/87/56,"50.987925, -3.898918"
HL/PO/JO/10/1/87/57,"51.0520319, -3.97222"
HL/PO/JO/10/1/87/58,"51.061317, -3.727113"
HL/PO/JO/10/1/87/59,"50.989964, -3.939011"
HL/PO/JO/10/1/87/60,"50.999504, -3.771378"
HL/PO/JO/10/1/87/61,"50.906697, -3.800811"
HL/PO/JO/10/1/87/62,"50.913966, -3.869415"
" Winfrith Hundred - Coombe Keymes.""","57.4755555, -132.3597222"
